credit_card_id,customer_id,card_type,card_limit,current_balance,last_payment_date,payment_due_date,payment_status,credit_utilization,credit_card_number,bank_name
001,1310,mastercard,500000,236218,2024-11-10,2024-12-10,Pending,0.47,2233453565728769,Yes Bank
002,1310,mastercard,150000,98415,2024-11-03,2024-12-03,Pending,0.66,2680325015298031,Bank of Baroda
003,229,mastercard,20000,9678,2024-06-06,2024-07-06,Paid,0.48,2289966345675193,SBI
004,229,visa,40000,10107,2024-03-13,2024-04-12,Pending,0.25,4493805202340871,Punjab National Bank
005,229,rupay,75000,41507,2024-02-22,2024-03-23,Pending,0.55,6.21992E+13,HDFC
006,52,mastercard,100000,47175,2024-10-23,2024-11-22,Pending,0.47,2720138314983829,Axis Bank
007,52,visa,20000,6140,2024-04-16,2024-05-16,Pending,0.31,4640719503893979,IDBI Bank
008,1519,mastercard,20000,860,2024-02-15,2024-03-16,Paid,0.04,5346513969662703,Bank of India
009,1519,visa,200000,156773,2024-07-12,2024-08-11,Pending,0.78,4603573737244417,Union Bank of India
010,564,visa,40000,27119,2024-08-08,2024-09-07,Pending,0.68,4694727428053095,SBI
011,564,visa,200000,136604,2024-08-30,2024-09-29,Paid,0.68,4785432293114599,Union Bank of India
012,502,visa,25000,8811,2024-03-22,2024-04-21,Pending,0.35,4452717369729011,IDFC First Bank
013,458,mastercard,25000,2073,2024-10-28,2024-11-27,Paid,0.08,5368395947999214,Central Bank of India
014,458,mastercard,75000,39289,2024-10-15,2024-11-14,Pending,0.52,5320355508460474,SBI
015,458,mastercard,40000,16160,2024-01-13,2024-02-12,Overdue,0.4,2706024878603136,Bajaj Finserv
016,286,visa,100000,14021,2024-01-18,2024-02-17,Paid,0.14,4155330667512491,Indian Bank
017,1509,visa,75000,43544,2024-07-13,2024-08-12,Overdue,0.58,4402680164284064,Union Bank of India
018,1509,mastercard,100000,43874,2024-04-28,2024-05-28,Pending,0.44,2260607868037287,Andhra Bank
019,210,visa,40000,21015,2024-04-15,2024-05-15,Overdue,0.53,4257395199566544,Kotak Mahindra
020,210,mastercard,50000,11641,2024-05-16,2024-06-15,Pending,0.23,2260110957562984,Canara Bank
021,1386,mastercard,400000,364358,2024-09-18,2024-10-18,Overdue,0.91,5274542483948526,Bajaj Finserv
022,1517,visa,50000,24645,2024-08-14,2024-09-13,Pending,0.49,4141904289366580,Union Bank of India
023,1517,mastercard,20000,18476,2024-07-01,2024-07-31,Paid,0.92,2702737407886484,Bank of Maharashtra
024,1117,visa,300000,288410,2024-06-24,2024-07-24,Paid,0.96,4705806364937789,IDBI Bank
025,1117,visa,100000,38185,2024-03-19,2024-04-18,Overdue,0.38,4668120434171857,SBI
026,1117,mastercard,300000,261778,2024-01-27,2024-02-26,Paid,0.87,2283604151740506,Indian Bank
027,179,visa,40000,10101,2024-11-15,2024-12-15,Overdue,0.25,4829533595819039,Central Bank of India
028,179,mastercard,20000,14715,2024-05-29,2024-06-28,Overdue,0.74,2244020386982045,Bajaj Finserv
029,179,rupay,75000,70040,2024-06-12,2024-07-12,Overdue,0.93,6.28639E+13,Central Bank of India
030,1210,visa,500000,188496,2024-08-17,2024-09-16,Overdue,0.38,4566100885755088,Federal Bank
031,1210,visa,20000,8134,2024-07-18,2024-08-17,Overdue,0.41,4937082788032678,Bank of India
032,1210,visa,300000,23224,2024-09-21,2024-10-21,Overdue,0.08,4766804477388475,Union Bank of India
033,865,mastercard,500000,225682,2024-05-17,2024-06-16,Paid,0.45,2252229966789576,HDFC
034,865,visa,40000,14549,2024-09-05,2024-10-05,Overdue,0.36,4166742355456871,RBL Bank
035,66,visa,100000,49036,2024-09-12,2024-10-12,Pending,0.49,4547876439758520,IDBI Bank
036,66,visa,50000,1609,2024-04-13,2024-05-13,Pending,0.03,4981823228064432,Axis Bank
037,66,mastercard,75000,11253,2024-06-16,2024-07-16,Paid,0.15,2427988517536055,Punjab National Bank
038,62,mastercard,40000,22483,2024-01-09,2024-02-08,Pending,0.56,2384170500386670,Kotak Mahindra
039,62,mastercard,50000,31205,2024-02-09,2024-03-10,Paid,0.62,2271539891236700,IDBI Bank
040,62,mastercard,50000,4402,2024-04-05,2024-05-05,Pending,0.09,2461547590968051,ICICI
041,192,visa,15000,13912,2024-06-29,2024-07-29,Pending,0.93,4548527624928233,Axis Bank
042,192,visa,400000,127880,2024-11-12,2024-12-12,Overdue,0.32,4647727592855679,Bank of Baroda
043,448,visa,50000,36690,2024-03-17,2024-04-16,Pending,0.73,4853344718073556,IDBI Bank
044,477,visa,500000,212361,2024-04-28,2024-05-28,Overdue,0.42,4688377056744991,Bank of Baroda
045,1035,visa,300000,226562,2024-06-02,2024-07-02,Pending,0.76,4535765091145056,HDFC
046,1035,visa,100000,77621,2024-02-03,2024-03-04,Pending,0.78,4126181596535756,Union Bank of India
047,1233,visa,400000,112615,2024-04-04,2024-05-04,Paid,0.28,4331092794912617,IDFC First Bank
048,1233,visa,200000,26673,2024-04-14,2024-05-14,Overdue,0.13,4884800123767226,Bank of Baroda
049,1233,mastercard,50000,12915,2024-04-23,2024-05-23,Pending,0.26,5507648894273039,Axis Bank
050,55,mastercard,300000,256630,2024-05-27,2024-06-26,Overdue,0.86,2712229776540668,Canara Bank
051,1150,mastercard,200000,102903,2024-03-07,2024-04-06,Overdue,0.51,2541424338745734,Axis Bank
052,408,mastercard,50000,30006,2024-11-01,2024-12-01,Overdue,0.6,2719476517935086,Bank of Baroda
053,1467,mastercard,200000,154709,2024-08-10,2024-09-09,Paid,0.77,2228465284679245,Punjab National Bank
054,1467,mastercard,20000,7817,2024-09-03,2024-10-03,Pending,0.39,2715917612190873,Axis Bank
055,1331,visa,50000,45445,2024-07-13,2024-08-12,Paid,0.91,4449242786832955,RBL Bank
056,1437,mastercard,75000,18070,2024-05-14,2024-06-13,Overdue,0.24,5413073840945072,Union Bank of India
057,1566,mastercard,25000,15947,2024-05-22,2024-06-21,Overdue,0.64,2272522501055685,Federal Bank
058,1566,visa,150000,43742,2024-04-05,2024-05-05,Pending,0.29,4744969202219811,Indian Bank
059,860,visa,25000,10308,2024-01-27,2024-02-26,Pending,0.41,4186948579208305,Andhra Bank
060,860,visa,50000,628,2024-04-30,2024-05-30,Pending,0.01,4045661010993598,Punjab National Bank
061,452,visa,75000,73607,2024-06-22,2024-07-22,Overdue,0.98,4374077779075231,Bajaj Finserv
062,452,mastercard,300000,257805,2024-01-22,2024-02-21,Pending,0.86,2290558761313396,IDBI Bank
063,920,mastercard,25000,2708,2024-04-03,2024-05-03,Overdue,0.11,2334772387937292,HDFC
064,1207,visa,40000,2142,2024-08-22,2024-09-21,Pending,0.05,4323720168102114,Yes Bank
065,570,mastercard,25000,14985,2024-06-01,2024-07-01,Overdue,0.6,2564480304762063,Bajaj Finserv
066,570,visa,200000,29938,2024-06-01,2024-07-01,Pending,0.15,4893983641369979,Federal Bank
067,14,mastercard,150000,10907,2024-04-04,2024-05-04,Overdue,0.07,2266245943891917,IDBI Bank
